,id,original_title,release_date,genres,vote_count,language
0,19995,Avatar,2009-12-10,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",11800,English
1,285,Pirates of the Caribbean: At World's End,2007-05-19,"['Adventure', 'Fantasy', 'Action']",4500,English
2,206647,Spectre,2015-10-26,"['Action', 'Adventure', 'Crime']",4466,English
3,49026,The Dark Knight Rises,2012-07-16,"['Action', 'Crime', 'Drama', 'Thriller']",9106,English
4,49529,John Carter,2012-03-07,"['Action', 'Adventure', 'Science Fiction']",2124,English
5,559,Spider-Man 3,2007-05-01,"['Fantasy', 'Action', 'Adventure']",3576,English
6,38757,Tangled,2010-11-24,"['Animation', 'Family']",3330,English
7,99861,Avengers: Age of Ultron,2015-04-22,"['Action', 'Adventure', 'Science Fiction']",6767,English
8,767,Harry Potter and the Half-Blood Prince,2009-07-07,"['Adventure', 'Fantasy', 'Family']",5293,English
9,209112,Batman v Superman: Dawn of Justice,2016-03-23,"['Action', 'Adventure', 'Fantasy']",7004,English
10,1452,Superman Returns,2006-06-28,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",1400,English
11,10764,Quantum of Solace,2008-10-30,"['Adventure', 'Action', 'Thriller', 'Crime']",2965,English
12,58,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,"['Adventure', 'Fantasy', 'Action']",5246,English
13,57201,The Lone Ranger,2013-07-03,"['Action', 'Adventure', 'Western']",2311,English
14,49521,Man of Steel,2013-06-12,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",6359,English
15,2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,"['Adventure', 'Family', 'Fantasy']",1630,English
16,24428,The Avengers,2012-04-25,"['Science Fiction', 'Action', 'Adventure']",11776,English
17,1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,"['Adventure', 'Action', 'Fantasy']",4948,English
18,41154,Men in Black 3,2012-05-23,"['Action', 'Comedy', 'Science Fiction']",4160,English
19,122917,The Hobbit: The Battle of the Five Armies,2014-12-10,"['Action', 'Adventure', 'Fantasy']",4760,English
20,1930,The Amazing Spider-Man,2012-06-27,"['Action', 'Adventure', 'Fantasy']",6586,English
21,20662,Robin Hood,2010-05-12,"['Action', 'Adventure']",1398,English
22,57158,The Hobbit: The Desolation of Smaug,2013-12-11,"['Adventure', 'Fantasy']",4524,English
23,2268,The Golden Compass,2007-12-04,"['Adventure', 'Fantasy']",1303,English
24,254,King Kong,2005-12-14,"['Adventure', 'Drama', 'Action']",2337,English
25,597,Titanic,1997-11-18,"['Drama', 'Romance', 'Thriller']",7562,English
26,271110,Captain America: Civil War,2016-04-27,"['Adventure', 'Action', 'Science Fiction']",7241,English
27,44833,Battleship,2012-04-11,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",2114,English
28,135397,Jurassic World,2015-06-09,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",8662,English
29,37724,Skyfall,2012-10-25,"['Action', 'Adventure', 'Thriller']",7604,English
30,558,Spider-Man 2,2004-06-25,"['Action', 'Adventure', 'Fantasy']",4321,English
31,68721,Iron Man 3,2013-04-18,"['Action', 'Adventure', 'Science Fiction']",8806,English
32,12155,Alice in Wonderland,2010-03-03,"['Family', 'Fantasy', 'Adventure']",4645,English
